perturbation,n_cells,phase_chi2_pvalue,s_score_diff,g2m_score_diff,diagnostic_status
ALG14,183,0.3472863554368542,-0.009974184338220907,0.02234262484547988,ok
ALG1L,216,0.7841163147816833,-0.003174082243255062,-0.0006935834517727071,ok
ALG2,247,0.3667050388256573,-0.01391955683499089,-0.0035329726876963813,ok
ALYREF,319,0.7504995625716105,-0.0076255720658843715,0.02134588220296143,ok
ANAPC1,124,0.0012143135558871693,-0.03747182388305344,0.033304497593448314,ok
ANAPC10,29,0.012137304736624912,-0.07428285409105678,0.043692433860328166,ok
ANAPC11,77,0.4272315544566181,-0.02505733981138818,0.041550835737488974,ok
ANAPC13,112,0.6329193983267491,0.0008065419644235107,-0.03085063431738117,ok
ANAPC15,424,0.33731838300973205,-0.005331956417344682,-0.013642379811687103,ok
ANAPC2,237,0.03416254284817616,-0.029073195484884802,0.008166391624152274,ok
ANAPC4,63,2.68285979793914e-05,-0.07352202868815585,0.035853410409206136,ok
ANAPC5,40,0.4643947354447868,-0.022552005292005062,-0.006473645659809742,ok
ANKLE2,126,0.7259379565120615,-0.015405092777044743,0.018978357823491852,ok
ANKRD11,260,0.5269635513078553,0.0008464947266910959,-0.01772738963977128,ok
ANKRD49,144,0.4755538722167246,0.004802032049244939,-0.016884770661934737,ok
ANKS6,95,0.460412575951473,-0.013502813569241906,-0.009382265775388698,ok
ANLN,96,0.050596807252534015,-0.020617375152838388,0.017284918094523587,ok
AP2M1,215,0.6876485207772824,0.006110738761308895,0.01818222205626003,ok
AP2S1,123,0.052635018391119795,0.021665468384356727,-0.02536839604267153,ok
AQP7,108,0.22631502575533544,0.017291923785124577,0.003734798115819886,ok
AQR,90,4.140790315662664e-14,-0.13942045557561614,0.012480061446190273,ok
ARCN1,333,3.5212855786642034e-07,-0.027890735359399954,-0.02905579906062656,ok
ARF4,89,0.9930564320961257,-0.0012420084967522532,-0.010489057835719857,ok
ARFRP1,138,0.6058144298656247,0.01326666473100219,-0.002348458395693802,ok
ARGFX,84,0.6176957765593573,0.030141050637637806,-0.02342329919833355,ok
ARGLU1,498,0.03508762208120886,0.013264298671900564,0.015774010589121985,ok
ARHGAP11B,212,0.30119547531154817,-0.012243899885448455,-0.006363712191168228,ok
ARID3A,31,0.5231741046113285,0.033903010934527196,-0.0322074941412291,ok
ARIH1,59,0.03929228619972097,0.026063278405494945,-0.030121300129911443,ok
ARL2,74,0.15238106049775205,-0.030334730221532092,0.023142804701055127,ok
ARL4D,120,0.7698306031021707,0.009153097852994948,-0.026919593584643076,ok
ARMC6,86,0.8642115776096977,-0.003646568685202736,0.006969795028050715,ok
ARMC7,110,0.5486050819446578,0.0069061698891313035,-0.010074753061082464,ok
ARPC2,227,0.8427706513591315,-0.0038216232513332525,-0.0023925222347348507,ok
ARPC3,141,0.6748343113384475,0.009001970858686429,-0.014868155749625342,ok
ARPC4,220,0.2991446982208104,-0.0012383331225959658,0.0036842914472539,ok
ASF1B,284,0.5654041552535038,-0.007426906842920553,0.003059560066824056,ok
ATF4,72,0.5325610278492119,-0.015821971469505057,-0.025247325466587523,ok
ATF5,141,1.8318990948843814e-26,-0.08658693986968238,-0.09680094783544094,ok
ATL2,120,0.2911713430381566,-0.0006039493453383928,0.015108671470106923,ok
ATP1A1,84,0.33029312550407847,0.038234942936447316,0.02453701361357121,ok
ATP2A2,158,0.6619234866325887,0.007253732558659496,-0.02697895508216417,ok
ATP6AP1,119,0.002912700327386745,0.013062981148570574,-0.05583101244355765,ok
ATP6AP2,175,0.66808931145739,-0.0032547355345050617,-0.010102080135809745,ok
ATP6V0B,147,0.5381817844924204,0.01111392149127725,-0.021162912023673687,ok
ATP6V0C,53,0.05877770179500694,0.05696555977153269,-0.03575982483362107,ok
ATP6V0D1,101,0.7613988764115232,-0.0008100798993565458,-0.00019895968856221274,ok
ATP6V1A,96,0.13348965475262764,0.0035243584096616085,-0.010031795909226413,ok
ATP6V1B2,442,1.0477242309436175e-08,0.026892259476610322,-0.04807724243986404,ok
ATP6V1C1,59,0.5013560681678488,-0.010286313584335568,0.006422185824325841,ok
ATP6V1D,139,0.007995871022616948,0.009844414179667603,-0.0500633796079824,ok
ATP6V1E1,188,0.7394379326804605,-0.005387197746632717,-0.02451087883615017,ok
ATP6V1F,72,0.8337639488579658,0.016359187823550496,-0.012697198798531963,ok
ATP6V1G1,67,0.869757959695227,-0.00026611487002744377,-0.006866056042705272,ok
ATP6V1H,84,0.0006871061124837845,0.05312486372692352,-0.05842643566738118,ok
ATR,141,0.003548048264049115,-0.028404428050568892,0.026286343641154807,ok
ATRIP,184,4.406299820750641e-05,-0.04640550444015724,0.021299564122603303,ok
AURKA,58,0.10773459049486331,-0.036532607056574025,0.018675972881017848,ok
AURKAIP1,76,0.3619983301967035,-0.02334209886555769,0.010733864912790263,ok
AURKB,33,0.458734473767181,-0.041125332539959605,-0.04396300020623399,ok
BANF1,162,0.9853635814322628,0.00038880646969246743,0.005340193776313708,ok
BANP,110,0.2266829804674913,-0.00217090748659597,0.017729625222553898,ok
BAP1,200,0.5247474493457798,0.01819986738099494,0.003554953887690261,ok
BARD1,140,0.7408822902576024,0.007926026641209224,-0.009994587504524026,ok
BCAR1,246,0.8514108665354357,-0.005456763066521321,0.0004560595488325367,ok
BCAS2,227,2.041786274350487e-20,-0.09000753126587069,-0.03560308146028551,ok
BCL2L1,173,0.9016058408887124,0.003851646445379331,0.01483065606422495,ok
BCLAF1,51,0.46755583586438176,-0.02088096369450506,0.012284926732268685,ok
BCR,561,1.2328718668413032e-31,-0.023128417585984565,-0.03478904516060119,ok
BCS1L,70,0.698855052400723,-0.026066771308790773,0.018791437967618833,ok
BDP1,331,1.620025436438831e-16,-0.0493626885688253,-0.05437101832181578,ok
BET1,131,0.0051133822614161635,-0.019012420152520325,-0.01607057419663418,ok
BGLAP,236,0.007193452679197761,-0.018728989399589804,0.01342521879097839,ok
BIRC5,46,0.049095925484517806,-0.04980849407872245,-0.018398826685548875,ok
BMS1,28,0.04538147890866753,0.002353851591209221,-0.028128519102024026,ok
BNIP1,111,0.000328783266085237,0.016404988514503956,-0.05611355993002596,ok
BOP1,253,0.13550801036807172,0.010482378502411936,-0.0187141103209639,ok
BORA,55,0.934502252996757,-0.014336448185414147,0.023654887014917532,ok
BPTF,56,0.018357907075684507,-0.06773707634838007,0.03350663417369024,ok
BRCA1,104,0.524958656761473,-0.0014249013406589031,0.0055039771458056455,ok
BRCA2,147,0.0227805288700679,-0.032039456133960836,0.010911922806026986,ok
BRD4,116,0.15600681044204337,0.042368613497736324,-0.026531619439499398,ok
BRD8,77,0.13685835738758761,-0.007477463929569992,0.05311621052969675,ok
BRF1,166,0.006679851091678782,0.0032770927048925286,-0.04247980298188203,ok
BRF2,174,0.7844501230493048,-0.0014411208445050602,-0.013995311355763769,ok
BRIP1,132,0.002504560995035218,-0.019779063676550517,-0.019283451055476415,ok
BRIX1,132,0.04078909534123851,-0.027313587282383846,-0.008925507695627923,ok
BRK1,180,0.8233623382895127,-0.0015648191474495025,-0.005841142137143075,ok
BTF3,79,0.37606562891264494,-0.027157312639694935,-0.05937994922077177,ok
BTF3L4,141,0.9845087273011479,-0.0028602339966327227,0.008775633178034224,ok
BUB1,648,0.28880717100575354,-0.0034411116746748127,-0.006116030803007266,ok
BUB1B,141,0.9317292105246751,0.0022469092955658652,0.022705427930161885,ok
BUB3,409,0.18410555068510623,0.000678485828795674,-0.01685592458640143,ok
BUD13,174,0.0012630693195093505,-0.058579420457723456,0.03157692898814427,ok
BUD31,37,0.6159455707164843,-0.021918616275586143,0.04304673277132539,ok
BYSL,98,0.084951035754612,-0.005940979007770363,-0.05806541082962607,ok
C12orf45,100,0.0067462928570764325,-0.03139336685390506,-0.06519635351380974,ok
C12orf60,110,0.00011255447735054059,-0.04182777955359597,-0.051713671660173384,ok
C14orf178,143,3.3763986071411043e-13,-0.07122563923198758,-0.048567040508425134,ok
C16orf86,184,0.20005584386010777,0.00769048351799494,-0.014590067391635826,ok
C17orf58,58,0.26172132831930567,0.024577034803770804,-0.009035092282775263,ok
C19orf25,189,0.07097536018444367,-0.013171912428896594,-0.009656061893968476,ok
C19orf53,169,0.8471674866422165,-0.006766012469061269,-0.005798666379667736,ok
C1D,160,0.3803365888888172,-0.012018793206255061,-0.005189846426872244,ok
C1QBP,210,0.16668483559979172,-0.010023395628314582,0.011168578833809312,ok
C1QTNF4,199,0.7705670894872503,0.00888782305373615,-0.015617570769337383,ok
C1orf109,240,0.30248906191866315,0.007777296662411611,-0.00022013760947641597,ok
C6orf15,164,0.7481121517638684,0.005681509026226644,-0.00242411061771218,ok
C7orf26,86,0.22725577471717248,-0.0004807146235748308,-0.04878721810915858,ok
C7orf50,93,0.20898416468497066,0.014206265431301397,-0.023692515027250605,ok
C9orf16,212,0.2637818868404239,0.014108306912098714,0.01930897303619026,ok
C9orf78,201,0.5211115614210577,-0.008882895913505062,0.005646214264647974,ok
CA5A,190,0.06233568494957687,0.006069378801547572,-0.016794873098704484,ok
CACNB3,316,0.40691884588754523,-0.009044840230011389,0.004801690396633293,ok
CACTIN,60,0.012773378854706549,-0.06751251457117172,0.009718089229523587,ok
CADM4,381,0.2170759069457008,0.0029504360906655452,0.018583531367371363,ok
CAMLG,99,0.1619238275251377,-0.001959645570262635,-0.0002724287459309471,ok
CAP1,26,0.9566607637429744,-0.035076702298351206,0.03259925315157488,ok
CAPZB,83,0.01092080096100822,-0.017328109971613492,-0.02619521091646035,ok
CARS,19,0.7109092380067219,-0.029751769220820845,0.0777775762204008,ok
CASP8AP2,211,0.00793153957312036,0.044661999570613425,-0.0032007949349945747,ok
CBLL1,102,0.5330070136139778,-0.01631611808313251,-0.0015645236579273983,ok
CBLN1,214,0.5150036020687667,-0.017278795737495713,-0.0041612170381088165,ok
CBX1,151,0.11881730069788853,0.013954785267309512,0.008587703424799524,ok
CCAR1,48,0.3815750942343887,0.02443906881189077,-0.05313451957005974,ok
CCDC115,211,0.13819420875687258,0.003132607889002048,0.006953937069981715,ok
CCDC130,113,0.057736186929921905,0.014182120849742727,0.030320132434420367,ok
CCDC137,198,0.7784332450318154,-0.013447391782383848,-0.018557087580476403,ok
CCDC144A,117,0.1520903131908424,-0.026341990755188824,0.027351291055848374,ok
CCDC144NL,87,0.5043488698615752,-0.002894681610597017,-0.0025340581569131826,ok
CCDC174,104,7.671977023942142e-05,-0.0690679190829666,-0.0314490253989059,ok
CCDC59,125,0.00038630683212712415,-0.004491676121785061,-0.07209017275980975,ok
CCDC78,142,0.7117640515137613,0.010613424801973814,0.011882966651683223,ok
CCDC84,79,9.040937437427237e-05,-0.07079886008412534,-0.0032014809663413746,ok
CCDC86,253,3.482621731258366e-15,-0.038546438620908216,-0.076366447058039,ok
CCNA2,24,0.5965120596696616,0.04323483915549495,-0.053588614380476414,ok
CCNB1,158,0.35699033963271504,-0.003783295878682272,-0.008384280010012284,ok
CCND1,146,0.26736812454466063,0.02296072934905658,-0.021538502673398782,ok
CCNH,79,0.6156910296425255,-0.023941061124378476,-0.018235401329632528,ok
CCNK,327,0.20317790448693682,0.012599261540968944,-0.005368757909987115,ok
CCNL1,177,0.7278047489213108,0.01288924338176613,0.009921124293478398,ok
CCP110,47,0.9503219713951137,0.004366080688473661,0.009605253451083859,ok
CCT2,199,0.07149219836393585,-0.03516887719752013,0.023568128464833478,ok
CCT3,234,0.39332486430082747,-0.03303384879194096,-0.0032012353061174267,ok
CCT4,251,0.011476393458718615,-0.03106976402717438,-0.00981247202835158,ok
CCT5,66,0.2700978784606436,-0.032619397494505056,0.012015840949826627,ok
CCT6A,131,0.5346667532676818,-0.010613835844123377,0.02981991750412919,ok
CCT7,152,0.012972805610522482,-0.033325508608320856,0.014304649254611328,ok
CCT8,111,0.004919109768061826,0.01700242212690936,-0.03853507365119713,ok
CD2BP2,132,0.7877976782254495,-0.0038221154892020305,-0.006829704868355185,ok
CD3EAP,88,0.07264351674281909,0.016163686122085845,-0.04084202996380974,ok
CD8B,112,0.5269524151484368,0.010706718350137801,-0.0007510092557740308,ok
CDAN1,137,0.47725017744699505,0.01251223342812268,-0.0028903729375323733,ok
CDC123,112,0.26074546700581214,-0.024833375285576487,-0.003980652893363315,ok
CDC16,165,1.7361551796763136e-06,-0.04990911932298991,-0.0041049426195673075,ok
CDC20,115,0.051580317291841225,-0.033324807487548534,0.043397221228364154,ok
CDC23,177,9.501902761047535e-07,-0.06794073559676495,0.04985661744268743,ok
CDC26,45,0.34003868555231603,-0.029628809173860616,-0.0067650074771430785,ok
CDC27,366,0.001563897094512565,-0.030368837134668994,0.01803579641690064,ok
CDC37,174,0.9350852649616748,-0.0036576689323211536,-0.016455258560361466,ok
CDC40,107,0.11039699349360003,-0.026067958348710674,-0.028415667673435913,ok
CDC42,70,0.5678064747959753,0.005208411383780653,-0.010833026812381172,ok
CDC45,92,0.2166939262261094,-0.02472710959885288,-0.02803336118772279,ok
CDC5L,99,9.074786549789484e-12,-0.09196602936218184,-0.010517525292092565,ok
CDC6,192,0.00043920897619189,-0.03080483832880193,0.03694760831395067,ok
CDC7,95,0.417309439434556,0.001381479416021257,0.014483717802506062,ok
CDC73,171,0.02756501336171813,0.015511452499646992,0.06465560162449435,ok
CDCA5,61,0.8453641246562695,-0.024330281738767355,-0.0017079359343015466,ok
CDCA8,82,0.1693559262418459,-0.004378463263529447,-0.025730538361736575,ok
CDIPT,247,0.406227942215988,-0.012789923449160932,0.006965443390441271,ok
CDK1,347,4.208734679682318e-08,-0.05352956228211313,-0.0066746152053083,ok
CDK11A,269,0.7068082046548418,-0.002842369053612865,-0.00025935244574282895,ok
CDK2,105,0.06836344534771471,0.012787360481685411,-0.009344517569524036,ok
CDK7,18,0.09741206151522847,-0.014152394194505051,-0.04370934135269863,ok
CDK9,140,0.8826746394806009,-0.0036643665816479144,-0.010783317663095461,ok
CDT1,28,0.9379814348998761,0.019570490905494932,-0.005559985963809744,ok
CEBPZ,113,0.0009899128731995078,-0.029718020203354616,-0.06944787414345575,ok
CENPA,76,0.6323749414973623,-0.030191053615557684,0.01622426300066395,ok
CENPC,124,0.0009464962091380664,-0.06815090682515022,0.007240490258770896,ok
CENPE,177,0.0001244359240433549,-0.0388613507637141,0.0040379412424049535,ok
CENPH,63,0.27863318888906485,-0.00979580979815585,0.039582314479047385,ok
CENPI,42,0.009406202221460934,-0.04084257109926698,0.08049129691714263,ok
CENPJ,282,4.071311452002249e-05,-0.03556241557500151,-0.021999278385795556,ok
CENPK,97,0.00010675207633849757,-0.04826656033368032,-0.034290240602985,ok
CENPN,147,0.9685204939412779,-0.00046310831695403967,0.005210064248305911,ok
CENPT,65,0.4496885183117755,-0.002357268703735831,-0.01294811770996359,ok
CENPW,72,0.6233785457528824,0.021666126625356052,0.01790429063341247,ok
CEP152,153,0.24769156570824288,-0.009910267367707675,0.028506240272791562,ok
CEP192,202,0.002373841179937803,-0.0407492687999506,0.017509733151833816,ok
CEP68,68,0.03546756406391872,0.03761316209520083,-0.03666917963439798,ok
CEP85,129,0.575369471880113,0.002428800748905797,-0.031060408324073308,ok
CEP97,135,0.6527768215951322,0.006738193435124568,0.0007335867265606186,ok
CFDP1,157,0.3846204004706111,0.023381691359826158,-0.0010636233345103774,ok
CFL1,23,0.9874419249142854,-0.0071518926075485375,0.0021113496231467827,ok
CHAF1A,38,0.07326473365049199,0.020679435568652843,0.02545759062040078,ok
CHAF1B,84,0.20795500641614648,0.02626280190549493,0.008945804423095026,ok
CHCHD1,84,0.3423597217627401,-0.031914649137719346,0.025921837018333123,ok
CHCHD2,90,0.5074262989840328,-0.004946124677838391,2.5779539680401142e-06,ok
CHCHD4,140,0.030267154355992337,-0.03267808808521934,-0.0053414689823097355,ok
CHD4,44,0.8357921741214082,-0.015659404624050514,0.023299619390735694,ok
CHEK1,295,2.03843290942744e-05,-0.04702925823064066,0.05857940225313941,ok
CHERP,67,0.009367225155263965,-0.0323788687840573,-0.029824056390675414,ok
CHMP1A,78,0.4681086442318617,0.0003823741042128896,-0.0011284985099635908,ok
CHMP2A,93,0.00023781291050007397,-0.05222658585579538,-0.03100245965176673,ok
CHMP3,130,7.898685439519554e-32,-0.14351733485219734,-0.12896670655765588,ok
CHMP4B,71,0.10764573889266468,0.004771579916762542,-0.04494895591451397,ok
CHMP5,110,0.8965054828675016,-0.013198627824505062,-0.02578350242380974,ok
CHMP6,624,1.2540793289552004e-13,-0.03717915121261403,-0.026073980450828975,ok
CHMP7,240,0.9103049674388479,-0.005932774635880059,0.00028783493869025817,ok
CHORDC1,259,0.21669521888578766,-0.016828746684080347,0.014955304395340839,ok
CHTF18,97,0.08962354065711507,-0.02753742597079372,0.036838425216602626,ok
CHTF8,45,0.10555608989898065,-0.034006982570060615,0.007026290431745824,ok
CHTOP,149,0.04578151325121808,0.00696017698858219,-0.016733813776051355,ok
CIAO1,255,0.6552522626265687,0.015306024680710628,-0.007145112395574457,ok
CIAPIN1,151,0.0006056072237735733,0.05669458670291216,-0.045255399527187226,ok
CINP,78,0.13865018079801886,-0.023091138742581986,-0.05240090508175846,ok
CKAP5,315,0.05806780459640621,-0.01482946774625109,-0.01979832198349228,ok
CLASRP,127,0.04716394798912535,0.00853795566061305,-0.030504994055148324,ok
CLCC1,47,0.3574847087760651,0.02264787729911196,-0.036325032370192724,ok
CLK2,88,0.868485230265637,0.013179767133904032,0.014866865098690264,ok
CLNS1A,53,0.10223711824890984,0.014881673416815684,-0.061937445127960684,ok
CLP1,55,0.03362538130059251,0.008920297005494942,0.08130268629982662,ok
CLSPN,134,0.02881081863119538,-0.03969828000495282,0.015027655541190253,ok
CLTC,157,0.04862694831242829,0.0021276739800172376,-0.023754863436421206,ok
CMPK1,173,0.966508811348921,-0.008996476896296964,-0.011610985793347316,ok
CMTR1,145,0.46489347284443117,0.01609539210273632,0.03892013174998337,ok
CNIH4,67,0.4617205091669915,0.03127750154430091,0.009967477229772335,ok
CNN2,197,0.5410633452286635,-0.00842114221277917,0.010430439504210569,ok
CNOT1,269,6.712579025112537e-38,-0.12478673728469092,-0.08532978187273167,ok
CNOT2,84,0.8340388587419842,-0.012639773477838394,-0.002139368174524016,ok
CNOT3,332,8.558050798189837e-17,-0.0484154136035412,-0.03256311009284589,ok
COA5,175,0.18605934217236111,-0.02151578516821935,0.021119425488190256,ok
COASY,247,0.5057173287126513,0.00558488817492004,0.024194610950765146,ok
COG1,40,0.6358334481704142,0.0035118123754949437,0.04348219843619026,ok
COG2,343,0.5346708857230524,0.0004166774570984397,0.0028438729708841273,ok
COG3,56,0.22338296784675482,-0.008110770114147918,-0.017106778369166895,ok
COG4,129,0.5788072567006324,0.0027894012401461082,0.01576639312921351,ok
COG6,183,0.3823834662990578,0.005181347312270896,0.003253094754769488,ok
COG8,47,0.11480515590009323,0.0065172639225162254,-0.05171259597444804,ok
COPA,243,1.6458065602137605e-06,-0.04199852221631576,-0.024615592317307682,ok
COPB1,91,9.959596795546579e-05,-0.07093758980219736,0.0008945994263001439,ok
COPB2,129,9.066110477404942e-12,-0.07919229501931127,-0.05516828663567021,ok
COPE,143,0.7755437144415007,0.006049994747243194,0.012242509811714729,ok
COPG1,261,0.6419577048124474,0.00744398903522674,-0.004663437488330813,ok
COPS2,47,0.21928898762216523,0.014154390373580041,0.05407840450427539,ok
COPS3,73,0.24193520403042362,0.004336407743851106,0.059047563908793003,ok
COPS4,262,0.021554619690214768,0.033583305256239204,0.031096336770541418,ok
COPS5,98,0.015703038132954712,0.019617821350392896,0.05625268858272086,ok
COPS6,235,0.061198837438708076,0.005891968724048131,0.05566483895491366,ok
COPS8,224,0.40462640356231405,0.025729899222637805,-0.0030879893910418857,ok
COPZ1,207,0.001691807155756555,-0.03507155100774177,-0.03145108275559718,ok
COQ2,67,0.37105873760948604,-0.018808649726325954,-0.027703821165302282,ok
COQ4,162,0.3199890256068678,-0.008849443883116172,-5.866594899492372e-05,ok
COQ5,113,0.7391252590217243,-0.004838489482115675,0.0012108010331814134,ok
COX10,94,0.8884427987931117,-0.0067717941572710185,0.04314052241629663,ok
COX11,109,0.31444727433926206,0.010275638693568328,-0.015645865539956533,ok
COX15,103,0.24019908540860932,-0.005902486045961369,0.002999245108326165,ok
COX17,143,0.1353868733879529,-0.014457475654644919,-0.01612274774003352,ok
COX5A,85,0.06232342099706512,-0.04297569323097565,-0.025834305390868565,ok
COX5B,118,0.3575707532103764,-0.019102414687725396,-0.024893768522284327,ok
COX6C,117,0.8277438913487047,-0.002969044276556339,-0.004468651046766997,ok
COX7B,120,0.567485172826071,-0.0008181328861717289,-0.015390942646976415,ok
COX7C,165,0.07367434227401347,-0.020767707981777787,-0.019191295136537022,ok
CPAMD8,233,0.7190543985608133,-0.007306620163174588,0.016062408788550774,ok
CPNE7,101,0.6228043007038115,0.006272778711435535,-0.021446749305393902,ok
CPOX,101,0.04911910237593716,0.010488333736188005,-0.010651708489354303,ok
CPSF1,50,0.8741976957985497,-0.02070913339450506,0.023941791535790256,ok
CPSF2,20,0.47989563068624685,-0.02100038574450506,0.0024345030361902567,ok
CPSF3,627,0.19789763084127535,0.01967348658997979,0.02239308276710892,ok
CPSF4,59,0.0022412666868595653,-0.060556555838572855,0.018855426581952973,ok
CPSF6,50,0.06315921315380324,0.018684572685494942,-0.06334403068380974,ok
CRCP,160,0.20283950524922473,0.014497636951119941,-0.01403192252255974,ok
CRKL,120,0.03136535687959991,0.020939818816328275,-0.03572940564880975,ok
CRLS1,111,0.6963035849076105,0.0006443186388282764,-0.03111255253894488,ok
CRNKL1,261,4.362176419719747e-05,-0.042882580544696625,-0.003048750612851883,ok
CS,222,0.827645441649536,0.001622379561440887,0.017350703073199268,ok
CSE1L,432,5.8921457341615785e-33,-0.11575155716674349,0.034018973111143956,ok
CSH2,179,0.07965546611566403,0.014215961586500524,-0.03731282746995499,ok
CSNK1A1,172,0.1037719365230414,0.014254130251774008,-0.019724988536484155,ok
CSNK2B,128,0.3107372487126894,-0.007431092607786308,0.05087723095806527,ok
CSTF1,141,0.13045132106886695,-0.022024442586703642,0.014058526756899482,ok
CSTF3,66,0.1672070595135017,-0.03385086295511112,-0.0351933540774461,ok
CTBP2,110,0.45216750858089505,-0.014025691840323241,0.0032359035416448106,ok
CTCF,68,0.41313722386286056,0.013603882202553763,-0.026384537268221507,ok
CTDP1,117,0.8148797112506101,-0.02825692460339395,0.0135019570746518,ok
CTNNBL1,69,0.2409687965041378,-0.02435537901334564,0.0007438857463351739,ok
CTPS1,14,0.09182825569599064,-0.03768464412307648,-0.17343461910666688,ok
CTR9,212,3.010252663475541e-16,-0.03199532217422204,-0.025227008511451255,ok
CTU2,114,0.22937145236279272,-0.003110225672838394,-0.0009667449234588704,ok
CUL1,223,0.40921050932143566,-0.01623015345818219,0.022233477448746312,ok
CUL2,94,0.0593509039077979,0.05296508773996302,-0.05253342278827783,ok
CUL3,120,0.3318274603458653,0.024818517633411613,-0.009969492272643078,ok
CUL7,33,0.6148466713560153,-0.018128383785414155,0.01530263032406904,ok
CWC15,184,4.942504519932628e-07,-0.06654003575559202,-0.010018332434461923,ok
CWC22,34,0.3644311871391876,-0.0029802764768579963,-0.05924367912263327,ok
CWC25,149,0.040762506518355196,0.02544221245448823,-0.03253554776716545,ok
CWF19L2,194,7.794170669746562e-05,-0.058578188027494746,0.003361531962886126,ok
CXXC1,122,0.000768980149867626,-0.0086221350699149,-0.04554166064905565,ok
CYC1,98,0.20358710247986797,0.010744371155494942,-0.008083373629115861,ok
CYCS,163,0.25617702703231676,0.0011846504416912623,-0.011729968138042862,ok
CYFIP1,111,0.14599649076174576,0.005299817305494933,-0.03029860052056649,ok
CYP2A13,140,0.11726874275334662,-0.020499391618076488,0.008159668396904532,ok
CYP4F11,120,0.4115277533808035,-0.008489564411171723,0.009929357237023595,ok
CYS1,170,0.20997063750702724,-0.004655750057622707,-0.011418314362280337,ok
DAD1,80,0.24609805648368255,0.03942217457799494,-0.012798272369184745,ok
DAP3,162,0.12617238490287247,0.006632414634692472,-0.02101963825208135,ok
DARS,70,0.00011968777382607976,-0.04282065454064792,-0.032778544956666884,ok
DBF4,131,0.006727437451606554,0.0035597312833575354,0.045397861718633005,ok
DBR1,98,1.7930470633406545e-07,-0.03733847781011425,-0.04874064819952403,ok
DCAF6,137,0.2693934738236117,-0.022402236153921118,0.015581559547139169,ok
DCLRE1B,117,0.7284269222097814,0.014807841614469297,0.0027725995284979404,ok
DCTN1,197,0.8905122422967763,0.003228360562347734,0.009058268547357771,ok
DCTN2,126,0.23093215393454297,-0.023595299198473314,0.017687760417142658,ok
