perturbation,n_cells,target_in_subset,diag_batch_js_divergence,diag_batch_n_batches_covered,diag_batch_status,diag_batch_stratum,diag_cellcycle_g2m_score_diff,diag_cellcycle_phase_chi2_p,diag_cellcycle_phase_shifted,diag_cellcycle_s_score_diff,diag_cellcycle_status,diag_kd_ctrl_norm_mean,diag_kd_pert_norm_mean,diag_kd_residual_ratio,diag_kd_stratum,diag_status
BCAS2,227,False,0.0707415470662331,46,ok,medium,-0.0356030814602855,2.041786274350487e-20,True,-0.0900075312658706,ok,,,,target_not_measured,kd_unmeasurable
BCL2L1,173,False,0.0648089487456896,46,ok,medium,0.0148306560642249,0.9016058408887124,False,0.0038516464453793,ok,,,,target_not_measured,kd_unmeasurable
BCLAF1,51,False,0.2200353818918076,31,ok,high,0.0122849267322686,0.4675558358643817,False,-0.020880963694505,ok,,,,target_not_measured,kd_unmeasurable
BCR,561,False,0.0175426364022029,48,ok,low,-0.0347890451606011,1.2328718668413032e-31,True,-0.0231284175859845,ok,,,,target_not_measured,kd_unmeasurable
BCS1L,70,False,0.1232478186119404,40,ok,high,0.0187914379676188,0.698855052400723,False,-0.0260667713087907,ok,,,,target_not_measured,kd_unmeasurable
BDP1,331,True,0.0301304108850081,48,ok,low,-0.0543710183218157,1.620025436438831e-16,True,-0.0493626885688253,ok,1.067429335476317,0.1626494459200254,0.152374907185258,strong,full
BET1,131,False,0.0731013632432109,46,ok,medium,-0.0160705741966341,0.0051133822614161,False,-0.0190124201525203,ok,,,,target_not_measured,kd_unmeasurable
BGLAP,236,False,0.0420405487144991,48,ok,low,0.0134252187909783,0.0071934526791977,False,-0.0187289893995898,ok,,,,target_not_measured,kd_unmeasurable
BIRC5,46,False,0.2499256127152773,29,ok,high,-0.0183988266855488,0.0490959254845178,False,-0.0498084940787224,ok,,,,target_not_measured,kd_unmeasurable
BMS1,28,False,0.3528181972667165,22,ok,high,-0.028128519102024,0.0453814789086675,False,0.0023538515912092,ok,,,,target_not_measured,kd_unmeasurable
BNIP1,111,False,0.0769030930397434,46,ok,medium,-0.0561135599300259,0.0003287832660852,False,0.0164049885145039,ok,,,,target_not_measured,kd_unmeasurable
BOP1,253,True,0.0293874391948231,48,ok,low,-0.0187141103209639,0.1355080103680717,False,0.0104823785024119,ok,0.9843602334201892,0.7916474457376833,0.8042253423699173,weak,full
BORA,55,False,0.246251660716561,31,ok,high,0.0236548870149175,0.934502252996757,False,-0.0143364481854141,ok,,,,target_not_measured,kd_unmeasurable
BPTF,56,False,0.1928956239113707,34,ok,high,0.0335066341736902,0.0183579070756845,False,-0.06773707634838,ok,,,,target_not_measured,kd_unmeasurable
BRCA1,104,False,0.1107916354009735,42,ok,medium,0.0055039771458056,0.524958656761473,False,-0.0014249013406589,ok,,,,target_not_measured,kd_unmeasurable
BRCA2,147,False,0.0748278934886044,46,ok,medium,0.0109119228060269,0.0227805288700679,False,-0.0320394561339608,ok,,,,target_not_measured,kd_unmeasurable
BRD4,116,False,0.10562418476966,43,ok,medium,-0.0265316194394993,0.1560068104420433,False,0.0423686134977363,ok,,,,target_not_measured,kd_unmeasurable
BRD8,77,False,0.1980006037720034,34,ok,high,0.0531162105296967,0.1368583573875876,False,-0.0074774639295699,ok,,,,target_not_measured,kd_unmeasurable
BRF1,166,False,0.059276779015278,47,ok,low,-0.042479802981882,0.0066798510916787,False,0.0032770927048925,ok,,,,target_not_measured,kd_unmeasurable
BRF2,174,False,0.050764771777838,46,ok,low,-0.0139953113557637,0.7844501230493048,False,-0.001441120844505,ok,,,,target_not_measured,kd_unmeasurable
BRIP1,132,False,0.0587332035248734,45,ok,low,-0.0192834510554764,0.0025045609950352,False,-0.0197790636765505,ok,,,,target_not_measured,kd_unmeasurable
BRIX1,132,False,0.0853827003078484,44,ok,medium,-0.0089255076956279,0.0407890953412385,False,-0.0273135872823838,ok,,,,target_not_measured,kd_unmeasurable
BRK1,180,True,0.0363419569666791,48,ok,low,-0.005841142137143,0.8233623382895127,False,-0.0015648191474495,ok,3.2963158375531436,0.3351839215863931,0.1016844071092411,strong,full
BTF3,79,False,0.1601124200521045,37,ok,high,-0.0593799492207717,0.3760656289126449,False,-0.0271573126396949,ok,,,,target_not_measured,kd_unmeasurable
BTF3L4,141,False,0.07342411367826,45,ok,medium,0.0087756331780342,0.984508727301148,False,-0.0028602339966327,ok,,,,target_not_measured,kd_unmeasurable
BUB1,648,True,0.0152009722442479,48,ok,low,-0.0061160308030072,0.2888071710057535,False,-0.0034411116746748,ok,0.8768825816696468,0.1065996088911917,0.1215665713056114,strong,full
BUB1B,141,False,0.0739785770120589,48,ok,medium,0.0227054279301618,0.9317292105246752,False,0.0022469092955658,ok,,,,target_not_measured,kd_unmeasurable
BUB3,409,True,0.0219236728670844,48,ok,low,-0.0168559245864014,0.1841055506851062,False,0.0006784858287956,ok,1.4406282255055212,0.4172746788328513,0.2896477185752961,medium,full
BUD13,174,False,0.0567212331795218,47,ok,low,0.0315769289881442,0.0012630693195093,False,-0.0585794204577234,ok,,,,target_not_measured,kd_unmeasurable
BUD31,37,False,0.3356912063638854,24,ok,high,0.0430467327713253,0.6159455707164843,False,-0.0219186162755861,ok,,,,target_not_measured,kd_unmeasurable
BYSL,98,False,0.1448442333265296,39,ok,high,-0.058065410829626,0.084951035754612,False,-0.0059409790077703,ok,,,,target_not_measured,kd_unmeasurable
C12orf45,100,False,0.110175215685115,41,ok,medium,-0.0651963535138097,0.0067462928570764,False,-0.031393366853905,ok,,,,target_not_measured,kd_unmeasurable
C12orf60,110,False,0.117817286739402,43,ok,medium,-0.0517136716601733,0.0001125544773505,False,-0.0418277795535959,ok,,,,target_not_measured,kd_unmeasurable
C14orf178,143,False,0.041075540225876,47,ok,low,-0.0485670405084251,3.376398607141105e-13,True,-0.0712256392319875,ok,,,,target_not_measured,kd_unmeasurable
C16orf86,184,False,0.0500794205063087,47,ok,low,-0.0145900673916358,0.2000558438601077,False,0.0076904835179949,ok,,,,target_not_measured,kd_unmeasurable
C17orf58,58,False,0.2141141319810915,33,ok,high,-0.0090350922827752,0.2617213283193056,False,0.0245770348037708,ok,,,,target_not_measured,kd_unmeasurable
C19orf25,189,False,0.0633968377753088,46,ok,low,-0.0096560618939684,0.0709753601844436,False,-0.0131719124288965,ok,,,,target_not_measured,kd_unmeasurable
C19orf53,169,True,0.0671476304946196,45,ok,medium,-0.0057986663796677,0.8471674866422165,False,-0.0067660124690612,ok,2.263143632475015,0.3543426237470126,0.1565709832386984,strong,full
C1D,160,False,0.0453013379289083,47,ok,low,-0.0051898464268722,0.3803365888888172,False,-0.012018793206255,ok,,,,target_not_measured,kd_unmeasurable
C1QBP,210,True,0.0422218072594102,47,ok,low,0.0111685788338093,0.1666848355997917,False,-0.0100233956283145,ok,7.115804655309075,1.1846085737769525,0.1664757017877269,strong,full
C1QTNF4,199,False,0.0402066558436739,48,ok,low,-0.0156175707693373,0.7705670894872503,False,0.0088878230537361,ok,,,,target_not_measured,kd_unmeasurable
C1orf109,240,False,0.0292421238148103,48,ok,low,-0.0002201376094764,0.3024890619186631,False,0.0077772966624116,ok,,,,target_not_measured,kd_unmeasurable
C6orf15,164,False,0.0817558560127445,46,ok,medium,-0.0024241106177121,0.7481121517638684,False,0.0056815090262266,ok,,,,target_not_measured,kd_unmeasurable
C7orf26,86,False,0.1581547340087115,37,ok,high,-0.0487872181091585,0.2272557747171724,False,-0.0004807146235748,ok,,,,target_not_measured,kd_unmeasurable
C7orf50,93,False,0.1367164269271033,39,ok,high,-0.0236925150272506,0.2089841646849706,False,0.0142062654313013,ok,,,,target_not_measured,kd_unmeasurable
C9orf16,212,True,0.0451079433462371,48,ok,low,0.0193089730361902,0.2637818868404239,False,0.0141083069120987,ok,2.8874608145968694,0.2648649090593518,0.0917293518652756,strong,full
C9orf78,201,True,0.0478802453382899,47,ok,low,0.0056462142646479,0.5211115614210577,False,-0.008882895913505,ok,2.9031195210944136,0.5186133551549865,0.178640028902248,strong,full
CA5A,190,False,0.035403221063348,47,ok,low,-0.0167948730987044,0.0623356849495768,False,0.0060693788015475,ok,,,,target_not_measured,kd_unmeasurable
CACNB3,316,False,0.0280917069571716,48,ok,low,0.0048016903966332,0.4069188458875452,False,-0.0090448402300113,ok,,,,target_not_measured,kd_unmeasurable
CACTIN,60,False,0.1745380325777844,36,ok,high,0.0097180892295235,0.0127733788547065,False,-0.0675125145711717,ok,,,,target_not_measured,kd_unmeasurable
CADM4,381,False,0.0358251124895606,48,ok,low,0.0185835313673713,0.2170759069457008,False,0.0029504360906655,ok,,,,target_not_measured,kd_unmeasurable
CAMLG,99,False,0.0974653211075302,42,ok,medium,-0.0002724287459309,0.1619238275251377,False,-0.0019596455702626,ok,,,,target_not_measured,kd_unmeasurable
CAP1,26,False,0.4588346096792522,17,ok,high,0.0325992531515748,0.9566607637429744,False,-0.0350767022983512,ok,,,,target_not_measured,kd_unmeasurable
CAPZB,83,False,0.144785587710134,38,ok,high,-0.0261952109164603,0.0109208009610082,False,-0.0173281099716134,ok,,,,target_not_measured,kd_unmeasurable
CARS,19,False,0.4565192760135391,17,ok,high,0.0777775762204008,0.7109092380067219,False,-0.0297517692208208,ok,,,,target_not_measured,kd_unmeasurable
CASP8AP2,211,False,0.0560339460887877,47,ok,low,-0.0032007949349945,0.0079315395731203,False,0.0446619995706134,ok,,,,target_not_measured,kd_unmeasurable
CBLL1,102,False,0.1244819391992395,41,ok,high,-0.0015645236579273,0.5330070136139778,False,-0.0163161180831325,ok,,,,target_not_measured,kd_unmeasurable
CBLN1,214,False,0.0481069609240507,48,ok,low,-0.0041612170381088,0.5150036020687667,False,-0.0172787957374957,ok,,,,target_not_measured,kd_unmeasurable
CBX1,151,False,0.0641146515502993,46,ok,medium,0.0085877034247995,0.1188173006978885,False,0.0139547852673095,ok,,,,target_not_measured,kd_unmeasurable
CCAR1,48,False,0.248287787208304,31,ok,high,-0.0531345195700597,0.3815750942343887,False,0.0244390688118907,ok,,,,target_not_measured,kd_unmeasurable
CCDC115,211,False,0.0366835188263184,48,ok,low,0.0069539370699817,0.1381942087568725,False,0.003132607889002,ok,,,,target_not_measured,kd_unmeasurable
CCDC130,113,False,0.0865011325005629,44,ok,medium,0.0303201324344203,0.0577361869299219,False,0.0141821208497427,ok,,,,target_not_measured,kd_unmeasurable
CCDC137,198,False,0.075002015247895,44,ok,medium,-0.0185570875804764,0.7784332450318154,False,-0.0134473917823838,ok,,,,target_not_measured,kd_unmeasurable
